time,IRL,VDS,VAC,Unnamed: 4
0.56328,2.7133e-09,5.0,-1.27778,
0.56428,2.69898e-09,5.0,-1.29687,
0.56528,2.68506e-09,5.0,-1.31591,
0.56628,2.67072e-09,5.0,-1.3349,
0.56728,2.65677e-09,5.0,-1.35384,
0.56828,2.64241e-09,5.0,-1.37272,
0.56928,2.62845e-09,5.0,-1.39155,
0.57028,2.61407e-09,5.0,-1.41032,
0.57128,2.60009e-09,5.0,-1.42904,
0.57228,2.5857e-09,5.0,-1.4477,
0.57328,2.5717e-09,5.0,-1.46631,
0.57428,2.55728e-09,5.0,-1.48485,
0.57528,2.54327e-09,5.0,-1.50334,
0.57628,2.52884e-09,5.0,-1.52177,
0.57728,2.51481e-09,5.0,-1.54014,
0.57828,2.50036e-09,5.0,-1.55844,
0.57928,2.48632e-09,5.0,-1.57669,
0.58028,2.47186e-09,5.0,-1.59487,
0.58128,2.4578e-09,5.0,-1.61299,
0.58228,2.44332e-09,5.0,-1.63105,
0.58328,2.42925e-09,5.0,-1.64904,
0.58428,2.41476e-09,5.0,-1.66697,
0.58528,2.40067e-09,5.0,-1.68483,
0.58628,2.38617e-09,5.0,-1.70263,
0.58728,2.37206e-09,5.0,-1.72035,
0.58828,2.35755e-09,5.0,-1.73801,
0.58928,2.34343e-09,5.0,-1.75561,
0.59028,2.32891e-09,5.0,-1.77313,
0.59128,2.31478e-09,5.0,-1.79058,
0.59228,2.30024e-09,5.0,-1.80796,
0.59328,2.2861e-09,5.0,-1.82527,
0.59428,2.27155e-09,5.0,-1.84251,
0.59528,2.2574e-09,5.0,-1.85967,
0.59628,2.24284e-09,5.0,-1.87677,
0.59728,2.22868e-09,5.0,-1.89378,
